system:index,cloud_pct,date,ndvi_mean,year,.geo
0_20181231T053221_20181231T054116_T43QDA,0.046725,2018-12-31,0.6598153112898422,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190130T053051_20190130T054027_T43QDA,0.029439,2019-01-30,0.17262265293761356,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190219T052851_20190219T053948_T43QDA,0.01854,2019-02-19,0.23170116102978294,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190316T052649_20190316T053602_T43QDA,0.01507,2019-03-16,0.3197124479757851,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190405T052649_20190405T054216_T43QDA,0.020113,2019-04-05,0.3566678333916696,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190525T052659_20190525T053718_T43QDA,0.135109,2019-05-25,0.2802808660035108,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190604T052659_20190604T053306_T43QDA,31.413475,2019-06-04,-0.043043043043043044,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190719T052651_20190719T054146_T43QDA,21.449289,2019-07-19,0.1987281399046105,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190823T052649_20190823T053454_T43QDA,48.062575,2019-08-23,0.17699509585376727,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190922T052649_20190922T054154_T43QDA,26.511352,2019-09-22,0.2688620258441017,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20191002T052649_20191002T053801_T43QDA,9.438402,2019-10-02,0.2714285714285714,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20191111T053039_20191111T053120_T43QDA,0.168685,2019-11-11,0.3651435503437121,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20191231T053229_20191231T053726_T43QDA,0.125414,2019-12-31,0.34156015866020273,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20200130T053049_20200130T053806_T43QDA,0.04216,2020-01-30,0.667862969004894,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20200224T052811_20200224T054233_T43QDA,0.022173,2020-02-24,0.4682698730794923,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20200330T052649_20200330T054138_T43QDA,0.025332,2020-03-30,0.20968962906888722,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20200414T052651_20200414T053524_T43QDA,0.028066,2020-04-14,0.20896717373899118,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20200504T052651_20200504T053442_T43QDA,0.217982,2020-05-04,0.22036727879799667,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20200623T052651_20200623T053900_T43QDA,34.133904,2020-06-23,0.3047696038803557,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20200906T052649_20200906T054226_T43QDA,38.162539,2020-09-06,0.254860746190226,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20201006T052709_20201006T054128_T43QDA,4.723438,2020-10-06,0.19862000985707245,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20201105T053019_20201105T053704_T43QDA,0.032017,2020-11-05,0.24014336917562723,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20201225T053229_20201225T053231_T43QDA,0.039409,2020-12-25,0.19393622582331416,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_20210124T053109_20210124T054131_T43QDA,0.020969,2021-01-24,0.3264355923435075,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_20210223T052819_20210223T053251_T43QDA,0.016855,2021-02-23,0.4428636989444699,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_20210315T052649_20210315T053959_T43QDA,0.015318,2021-03-15,0.3051792828685259,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_20210404T052649_20210404T054159_T43QDA,0.047969,2021-04-04,0.40387722132471726,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_20210504T052639_20210504T053127_T43QDA,0.037965,2021-05-04,0.4356902356902357,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_20210608T052651_20210608T054039_T43QDA,32.082294,2021-06-08,0.778309791716543,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_20211021T052849_20211021T053924_T43QDA,0.054831,2021-10-21,0.7393483709273183,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_20211110T053039_20211110T053814_T43QDA,5.569185,2021-11-10,0.6189051749925217,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_20211225T053241_20211225T054315_T43QDA,0.043683,2021-12-25,0.5201560468140443,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_20220119T053139_20220119T054240_T43QDA,0.039237,2022-01-19,0.23211935059236508,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_20220228T052749_20220228T054031_T43QDA,7.3E-5,2022-02-28,0.22252497729336967,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_20220315T052651_20220315T053616_T43QDA,1.56E-4,2022-03-15,0.2983377077865267,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_20220429T052639_20220429T054147_T43QDA,0.045355,2022-04-29,0.4801587301587302,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_20220529T052649_20220529T054154_T43QDA,0.079472,2022-05-29,0.5275504637206765,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_20220603T052651_20220603T053917_T43QDA,0.008524,2022-06-03,0.6603157321720196,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_20220901T052701_20220901T053903_T43QDA,32.042733,2022-09-01,0.761248852157943,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_20221026T052909_20221026T053726_T43QDA,0.004161,2022-10-26,0.7635179153094462,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_20221110T053041_20221110T054156_T43QDA,7.0E-5,2022-11-10,0.7611075338055376,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_20221225T053239_20221225T053233_T43QDA,7.0E-5,2022-12-25,0.690272373540856,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_20230114T053159_20230114T053155_T43QDA,0.0,2023-01-14,0.6006040015100038,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_20230228T052751_20230228T053351_T43QDA,1.49E-4,2023-02-28,0.16209476309226933,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_20230305T052719_20230305T053523_T43QDA,1.0E-4,2023-03-05,0.32004981320049813,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_20230419T052641_20230419T053754_T43QDA,7.0E-5,2023-04-19,0.17740112994350282,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_20230524T052649_20230524T054141_T43QDA,0.015955,2023-05-24,0.19342872284048754,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_20230603T052649_20230603T054136_T43QDA,0.305736,2023-06-03,0.1888111888111888,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_20230906T052651_20230906T052911_T43QDA,26.431024,2023-09-06,0.4862944162436548,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_20231031T052949_20231031T053846_T43QDA,3.88E-4,2023-10-31,0.7370820668693009,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_20231115T053101_20231115T054326_T43QDA,0.00357,2023-11-15,0.6738131699846861,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_20231210T053219_20231210T053918_T43QDA,0.008434,2023-12-10,0.5256042605489554,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_20240114T053201_20240114T053155_T43QDA,0.013371,2024-01-14,0.25569620253164554,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_20240223T052831_20240223T053517_T43QDA,1.16E-4,2024-02-23,0.23042505592841164,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_20240319T052649_20240319T054135_T43QDA,8.6E-5,2024-03-19,0.18230088495575222,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_20240408T052649_20240408T053621_T43QDA,8.92E-4,2024-04-08,0.18115002161694768,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_20240503T052651_20240503T053613_T43QDA,0.092316,2024-05-03,0.22133333333333333,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_20240602T052651_20240602T053346_T43QDA,2.185507,2024-06-02,0.21946564885496184,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_20240930T052651_20240930T054142_T43QDA,15.786868,2024-09-30,0.7909008737571558,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_20241030T052941_20241030T053441_T43QDA,0.0342,2024-10-30,0.32974910394265233,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_20241119T053111_20241119T054341_T43QDA,4.2E-5,2024-11-19,0.32640121734719757,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_20241214T053139_20241214T053359_T43QDA,2.49E-4,2024-12-14,0.22801556420233463,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
